ID,NAME
272,Brown Onion Pulao
273,Brownie
274,Brownie Fantasy
275,Brownie Shake
276,Brownie Sundae
277,Bubble Gum Mojito
278,Bubble Tea
279,Bubblegum Velvet Waffles
280,Bulls Eye
281,Bun Butter Gulkand
282,Bun Butter Jam
283,Bun Masala
284,Bun Maska
285,Bun Omelette
286,Burger
287,Buritto Veg
288,Burnt Garlic Rice
289,Butter
290,Butter Appe
291,Butter Chicken
292,Butter Chicken Biryani
293,Butter Chicken Masala
294,Butter Croissant
295,Butter Dosa
296,Butter Kulcha
297,Butter Masala Dosa
298,Butter Milk
299,Butter Naan
300,Butter Paneer
301,Butter Paneer Appe
302,Butter Roast Dosa
303,Butter Roti
304,Butter Scotch Chocolate Waffle
305,Butter Scotch Milkshake
306,Butter Scotch Pastry
307,Butter Tandoori Paratha
308,Butter Tandoori Roti
309,Buttermilk
310,Butterscotch Ice Cream
311,Butterscotch Ice Cream Milkshake
312,Butterscotch Lassi
313,Butterscotch Muffin
314,Butterscotch Smoothie
315,Butterscotch Waffles
316,Cabbage
317,Cabbage Bajji
318,Cafe Frappe
319,Cake
320,Cake Crumble Pie
321,Cake Fudge
322,Calicut Chicken Curry
323,Calicut Chicken Roast
324,Candy Chicken
325,Cane Juice
326,Cannelloni
327,Capsicum Bajji
328,Capsicum Bhaji
329,Capsicum Cheese Sandwich
330,Capsicum Masala Dosa
331,Capsicum Pulao
332,Capsicum Rice
333,Capsicum Rice Bath
334,Caramel Brownie
335,Caramel Coffee
336,Caramel Sauce
337,Carrot
338,Carrot Cake
339,Carrot Cherry Cake
340,Carrot Corn Pulao
341,Carrot Dosa
342,Carrot Idli
343,Carrot Juice
344,Carrot Paratha
345,Carrot Rice
346,Carrot Soup
347,Carrot Utthappam
348,Cashew Paneer Curry
349,Cauliflower Masala Dosa
350,Cereals
351,Chaat
352,Chai
353,Chakuli
354,Cham-Cham
355,Chana Aloo Tikki
356,Chana Chaat
357,Chana Masala
358,Chanar Jelabi
359,Chanar Kalia Thali
360,Chandrakala
361,Channa
362,Channa Masala Dosa
363,Chapati
364,Char Grilled Lemon Chicken
365,Chatpata Aloo Paratha
366,Chatti Pathiri
367,Chawal
368,Cheela
369,Cheese
370,Cheese Aloo Tikki
371,Cheese Bread Omelette
372,Cheese Burger
373,Cheese Cake
374,Cheese Chicken Meatball
375,Cheese Chicken Momos
376,Cheese Corn Nuggets
377,Cheese Croissant
378,Cheese Dosa
379,Cheese Maggi
380,Cheese Masala Dosa
381,Cheese Masala Omelette
382,Cheese Omelette
383,Cheese Onion Dosa
384,Cheese Onion Paratha
385,Cheese Paradilla
386,Cheese Paratha
387,Cheese Pasta
388,Cheese Poppers
389,Cheese Sandwich
390,Cheese Sauce
391,Cheesy Fries
392,Cheesy Paneer Tikka Wrap
393,Chena Angoor
394,Chena Payesh
395,Chena Roll
396,Chenna Masala
397,Chennai Style Biryani
398,Chettinad Chicken Dry
399,Chettinad Chilli Chicken
400,Chettinad Pepper Chicken Meals
401,Chettinadu Masala Dosa
402,Chia Oats Pudding
403,Chicken
404,Chicken 555
405,Chicken 555 Biryani
